Source,Sitename,KA.young,KA.old,date.citation,Arch,Lat,Long,Descr.,Species.attribution,Single.Chain,PU.RM,PU.facetting,PU.faceshaping.rad.,PU.lat.trimming,PU.dist.trimming,PU.back.shaping,PU.cresting,PU.debord,PU.overshot,PU.kombewa,PU.tablet,PU.abrasion,PU.overhang,PU.hard.hammer.percussion,PU.use.of.hand.to.support.percussed.object,PU.use.of.anvil.to.support.percussed.object,PU.core.rotation,PU.Soft,PU.indirect,PU.Flaking.through.pressure,PU.pecking,PU.invasive,PU.ochre,PU.asphalt,PU.retouch,PU.backing,PU.notching,PU.burin,PU.tang,PU.tranchet,PU.rt.bif,PU.rt.invasive,PU.rt..pressure.flake,procedural_units,age_mid_ka,above_noncumulative_baseline
Moore 2003,Georgina River Bridge Site,0.001,1.0,Based on earliest evidence of large blades at other sites in region,1,-19.94479559,138.1322241,Camooweal sharktooth method,H. sapiens,Yes,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0.5005,True
Moore 2003,Georgina River Bridge Site,0.001,1.0,Based on earliest evidence of large blades at other sites in region,1,-19.92419924,138.10589,Camooweal standard method,H. sapiens,Yes,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0.5005,True
Barzilai and Goring-Morris 2010,Kfar HaHoresh,11.0,12.2,,1,32.59188801,35.27595567,Naviform reduction producing blades that are made into amuq points. ,H. sapiens,Yes,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,17,11.6,True
Stout et al. 2010,EG12,2500.0,2600.0,Stout et al. 2010,1,11.2092078,40.60793788,Oldowan pebble cores with rotation. ,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2550.0,False
Stout et al. 2010,EG12,2500.0,2600.0,Stout et al. 2010,1,11.11470906,40.41206817,Oldowan pebble cores without rotation. ,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2550.0,False
Hogberg et al. 2011,Hollow Rockshelter,72.0,80.0,,1,-32.07983253,19.08535133,Unifacial Still bay points. Bifacially flaked predominately shaped by freehand hard hammer percussion but in late stages there's retouch to form the tang and some of that retouch is invasive and pressure flaked. ,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,8,76.0,True
Sorensen 2004,Itinnera,3.0,4.4,,1,64.28214437,-50.79293337,Arctic small tool tradition at Saqqaq. Burins made on little bifaces. hafted. burin spalls taken through pressure. ,H. sapiens,Yes,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,10,3.7,True
Villa et al. 2010,Klasies cave 1A lower HP,53.0,68.1,Jacobs et al. 2008a. sample ZKR10 and Tribolo 2003 TL on heated quartzites. ,1,-33.99833895,24.38525502,Howieson's poort backed pieces on blade segments made from blades produced on hierarchical cores displayed in fig 16 and 15. And supp fig 5. characteristic of HP D sample Upper and lower. ,?,Yes,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,14,60.55,True
Tryon et al. 2006,Kapthurin LHA FS,284.0,509.0,,1,0.598558367,35.9837533,Early Levallois at Kapthurin LHA fig. 3. Centripetally prepared preferential cores with ventral thinning. ,?,Yes,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,396.5,True
Tryon et al. 2006,Koilomot locus 2,200.0,250.0,,1,0.504712196,35.97620137,Kapthurin preferential hierarchical flake cores. fIG 4 Core C. Prepared through debordante removals distal convexities managed by distal flakes no lateral trimming though its common on other cores. No mention of platform abrasion or overhang trimming. No retouch in Koilomot locus 2 either. ,?,Yes,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,225.0,True
